================================================================================
FREEZE PIPE DEMAND FORECAST REPORT
Generated: 2026-04-03
================================================================================

--- SKU MAPPING STATISTICS ---
Total data rows:       342355
Matched units:         268103
Unmatched units:       94468
Skipped (qty <= 0):    1786
Match rate:            73.9%
Catalog SKUs w/ data:  118 / 128

--- TOP 20 UNMATCHED SKUs (by volume) ---
SKU                                          Units
-------------------------------------------------------
dna-koozie                                   1044
bw51d                                        469
customizeyourpiece                           335
steamroller                                  329
bw56                                         299
steamroller-bw30                             225
nb2s                                         196
negative-spoon                               190
nb2m-orange                                  189
martini                                      136
rubber-washer                                130
iridescent spiral coil                       124
fpheadattachment-bubbler                     121
mini rig & dab kit                           116
34-middle-straight                           116
18 big hc bowl                               114
bw-58b- base                                 111
ds-revolver                                  107
middle-spiral                                107
middle-straight                              100

--- FORECAST BY SKU (sorted by 30d forecast, descending) ---
SKU                    Cur Monthly  30d Fcst  Seasonal   Trend  Days
------------------------------------------------------------------------
Keychain-Debowler              728      1843      4.02    0.94   415
BW20DNA                        885       737      0.94    0.81   878
BW20-Bowl                     1023       691      1.05    0.88   900
BW20                          1247       553      0.81    0.88   900
Filter-ADP                     647       346      1.00    0.95   108
Cleaning-Bottle                421       276      0.74    0.80   900
BW40SP                         405       266      0.92    0.86   825
Cleaning-Caps                  371       233      0.69    0.86   900
Cleaning-Plugs                 371       233      0.69    0.86   900
NB5                             83       207      1.64    1.13   351
FP-Koozie                      561       196      0.86    0.99   900
bw64                           203       184      1.00    1.00   270
NB6                             20       176      1.00    1.00     4
BW22                           138       168      1.28    0.83   900
BW40                           207       160      1.08    0.85   900
14-HC-Bowl                     108       133      1.47    0.92   899
Carbon-Filter                  138       118      1.04    0.82   371
18-HC-Bowl                     156       117      0.91    0.85   900
BW20P                           99       108      0.95    0.88   900
18-G-Bowl                       82        99      1.22    0.89   683
BW21P                          129        96      0.94    0.80   899
NB1M                           123        92      1.24    0.90   900
NB2                             74        86      1.01    0.80   900
1-Hemp                         103        82      0.83    0.80   900
Vape                            89        65      1.20    0.86   900
14-G-Bowl                       52        64      1.21    0.87   682
BW33-19                         72        63      0.98    0.80   899
XL-Koozie                       68        62      0.94    0.81   900
BW62                            67        61      0.91    1.02   509
34-Clip                        103        60      0.87    0.90   899
BW61                            43        57      1.52    0.86   566
BW33-19P                        66        57      0.88    0.80   898
HT-5                            57        54      1.04    0.97   899
Mini-ENAIL-Gray                 49        52      1.19    0.98   897
NB1-Spiral                      29        52      1.84    0.91   900
E-Rig-Attachment                40        48      1.75    0.88   388
